Pool Price

""

Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
"07/01/2020 01","19.78","34.53","8459.0"
"07/01/2020 02","15.31","34.56","8287.0"
"07/01/2020 03","15.67","34.58","8158.0"
"07/01/2020 04","13.93","34.60","8106.0"
"07/01/2020 05","5.05","34.60","8075.0"
"07/01/2020 06","0.00","34.60","8046.0"
"07/01/2020 07","0.00","34.58","8083.0"
"07/01/2020 08","13.55","34.56","8256.0"
"07/01/2020 09","15.81","34.54","8485.0"
"07/01/2020 10","17.86","34.52","8647.0"
"07/01/2020 11","17.89","34.50","8799.0"
"07/01/2020 12","17.89","34.48","8992.0"
"07/01/2020 13","16.97","34.46","9135.0"
"07/01/2020 14","17.07","34.43","9153.0"
"07/01/2020 15","18.85","34.41","9124.0"
"07/01/2020 16","17.84","34.39","9066.0"
"07/01/2020 17","17.72","34.38","9122.0"
"07/01/2020 18","17.71","34.36","9175.0"
"07/01/2020 19","16.97","34.36","9074.0"
"07/01/2020 20","17.53","34.35","8993.0"
"07/01/2020 21","15.68","34.35","8847.0"
"07/01/2020 22","3.97","34.33","8807.0"
"07/01/2020 23","6.94","34.31","8784.0"
"07/01/2020 24","15.48","34.30","8600.0"
"07/02/2020 01","16.78","34.30","8413.0"
"07/02/2020 02","15.34","34.29","8300.0"
"07/02/2020 03","15.44","34.29","8200.0"
"07/02/2020 04","15.25","34.29","8172.0"
"07/02/2020 05","15.27","34.28","8173.0"
"07/02/2020 06","13.29","34.27","8191.0"
"07/02/2020 07","0.90","34.24","8416.0"
"07/02/2020 08","15.65","34.23","8808.0"
"07/02/2020 09","17.79","34.21","9035.0"
"07/02/2020 10","18.46","34.19","9225.0"
"07/02/2020 11","18.52","34.18","9395.0"
"07/02/2020 12","18.52","34.16","9482.0"
"07/02/2020 13","18.52","34.14","9448.0"
"07/02/2020 14","18.52","34.12","9453.0"
"07/02/2020 15","20.22","34.12","9450.0"
"07/02/2020 16","20.22","34.11","9396.0"
"07/02/2020 17","20.42","34.11","9404.0"
"07/02/2020 18","21.18","34.11","9413.0"
"07/02/2020 19","20.45","34.11","9262.0"
"07/02/2020 20","18.83","34.10","9190.0"
"07/02/2020 21","20.55","34.10","9117.0"
"07/02/2020 22","20.07","34.10","9042.0"
"07/02/2020 23","19.66","34.09","9004.0"
"07/02/2020 24","16.70","34.11","8724.0"
"07/03/2020 01","15.44","34.11","8505.0"
"07/03/2020 02","11.73","34.13","8326.0"
"07/03/2020 03","11.98","34.15","8230.0"
"07/03/2020 04","13.30","34.16","8223.0"
"07/03/2020 05","15.03","34.18","8265.0"
"07/03/2020 06","15.43","34.18","8229.0"
"07/03/2020 07","20.29","34.18","8384.0"
"07/03/2020 08","23.53","34.19","8731.0"
"07/03/2020 09","30.44","34.21","9017.0"
"07/03/2020 10","30.90","34.22","9187.0"
"07/03/2020 11","30.97","34.23","9383.0"
"07/03/2020 12","31.59","34.23","9437.0"
"07/03/2020 13","33.14","34.23","9477.0"
"07/03/2020 14","33.87","34.23","9564.0"
"07/03/2020 15","33.82","34.23","9559.0"
"07/03/2020 16","33.98","34.25","9610.0"
"07/03/2020 17","34.30","34.27","9655.0"
"07/03/2020 18","34.39","34.28","9698.0"
"07/03/2020 19","36.67","34.30","9611.0"
"07/03/2020 20","34.42","34.32","9511.0"
"07/03/2020 21","34.18","34.32","9352.0"
"07/03/2020 22","32.89","34.34","9165.0"
"07/03/2020 23","30.72","34.34","9078.0"
"07/03/2020 24","30.78","34.34","8841.0"
"07/04/2020 01","30.78","34.36","8552.0"
"07/04/2020 02","30.01","34.37","8380.0"
"07/04/2020 03","29.45","34.38","8204.0"
"07/04/2020 04","27.93","34.39","8207.0"
"07/04/2020 05","28.88","34.40","8241.0"
"07/04/2020 06","26.07","34.41","8177.0"
"07/04/2020 07","27.71","34.41","8194.0"
"07/04/2020 08","26.95","34.40","8387.0"
"07/04/2020 09","30.64","34.40","8583.0"
"07/04/2020 10","31.61","34.41","8775.0"
"07/04/2020 11","33.36","34.41","8981.0"
"07/04/2020 12","34.34","34.41","9141.0"
"07/04/2020 13","32.86","34.41","9249.0"
"07/04/2020 14","34.88","34.42","9255.0"
"07/04/2020 15","34.71","34.42","9237.0"
"07/04/2020 16","30.63","34.42","9185.0"
"07/04/2020 17","29.75","34.41","9201.0"
"07/04/2020 18","29.77","34.41","9233.0"
"07/04/2020 19","30.02","34.40","9119.0"
"07/04/2020 20","29.51","34.40","8957.0"
"07/04/2020 21","29.69","34.39","8938.0"
"07/04/2020 22","29.79","34.39","8836.0"
"07/04/2020 23","29.76","34.38","8816.0"
"07/04/2020 24","29.85","34.38","8641.0"
"07/05/2020 01","31.37","34.37","8398.0"
"07/05/2020 02","30.66","34.37","8203.0"
"07/05/2020 03","26.77","34.36","8080.0"
"07/05/2020 04","26.07","34.35","8034.0"
"07/05/2020 05","26.39","34.34","8059.0"
"07/05/2020 06","23.92","34.33","7932.0"
"07/05/2020 07","24.45","34.31","7944.0"
"07/05/2020 08","23.14","34.30","8081.0"
"07/05/2020 09","23.14","34.28","8227.0"
"07/05/2020 10","28.86","34.27","8481.0"
"07/05/2020 11","29.14","34.26","8615.0"
"07/05/2020 12","31.47","34.24","8760.0"
"07/05/2020 13","31.59","34.22","8897.0"
"07/05/2020 14","30.98","34.22","8947.0"
"07/05/2020 15","31.23","34.21","8988.0"
"07/05/2020 16","34.42","34.21","8977.0"
"07/05/2020 17","35.68","34.21","9076.0"
"07/05/2020 18","37.03","34.21","9214.0"
"07/05/2020 19","35.81","34.22","9149.0"
"07/05/2020 20","34.80","34.22","9057.0"
"07/05/2020 21","34.35","34.22","8973.0"
"07/05/2020 22","31.02","34.22","8849.0"
"07/05/2020 23","30.90","34.23","8760.0"
"07/05/2020 24","29.78","34.22","8519.0"
"07/06/2020 01","29.75","34.22","8258.0"
"07/06/2020 02","21.14","34.20","8080.0"
"07/06/2020 03","17.94","34.19","7936.0"
"07/06/2020 04","17.66","34.17","7904.0"
"07/06/2020 05","21.17","34.15","7962.0"
"07/06/2020 06","24.99","34.14","8012.0"
"07/06/2020 07","24.70","34.14","8247.0"
"07/06/2020 08","30.37","34.14","8638.0"
"07/06/2020 09","33.38","34.14","8966.0"
"07/06/2020 10","34.39","34.14","9210.0"
"07/06/2020 11","34.94","34.14","9433.0"
"07/06/2020 12","35.01","34.14","9571.0"
"07/06/2020 13","35.05","34.14","9612.0"
"07/06/2020 14","36.09","34.14","9655.0"
"07/06/2020 15","36.85","34.14","9708.0"
"07/06/2020 16","37.02","34.14","9773.0"
"07/06/2020 17","37.34","34.14","9826.0"
"07/06/2020 18","39.73","34.15","9850.0"
"07/06/2020 19","37.52","34.16","9670.0"
"07/06/2020 20","34.25","34.16","9484.0"
"07/06/2020 21","34.05","34.17","9306.0"
"07/06/2020 22","32.95","34.17","9136.0"
"07/06/2020 23","32.35","34.18","8999.0"
"07/06/2020 24","30.29","34.19","8700.0"
"07/07/2020 01","30.56","34.20","8507.0"
"07/07/2020 02","30.18","34.21","8378.0"
"07/07/2020 03","28.44","34.23","8287.0"
"07/07/2020 04","28.79","34.24","8278.0"
"07/07/2020 05","28.75","34.25","8238.0"
"07/07/2020 06","28.82","34.27","8214.0"
"07/07/2020 07","30.12","34.28","8458.0"
"07/07/2020 08","28.77","34.31","8822.0"
"07/07/2020 09","30.89","34.33","9119.0"
"07/07/2020 10","30.96","34.33","9285.0"
"07/07/2020 11","32.52","34.33","9436.0"
"07/07/2020 12","34.34","34.34","9537.0"
"07/07/2020 13","34.15","34.35","9604.0"
"07/07/2020 14","32.08","34.36","9625.0"
"07/07/2020 15","30.96","34.37","9591.0"
"07/07/2020 16","30.91","34.37","9635.0"
"07/07/2020 17","29.38","34.37","9613.0"
"07/07/2020 18","28.78","34.36","9554.0"
"07/07/2020 19","25.56","34.35","9298.0"
"07/07/2020 20","24.39","34.34","9159.0"
"07/07/2020 21","24.51","34.32","9061.0"
"07/07/2020 22","25.76","34.31","8994.0"
"07/07/2020 23","25.98","34.30","8815.0"
"07/07/2020 24","28.37","34.30","8567.0"
"07/08/2020 01","27.92","34.29","8347.0"
"07/08/2020 02","20.94","34.29","8167.0"
"07/08/2020 03","17.79","34.28","8056.0"
"07/08/2020 04","1.44","34.24","8003.0"
"07/08/2020 05","0.00","34.20","8058.0"
"07/08/2020 06","0.00","34.15","8125.0"
"07/08/2020 07","0.00","34.11","8300.0"
"07/08/2020 08","6.37","34.07","8614.0"
"07/08/2020 09","14.71","34.05","8925.0"
"07/08/2020 10","14.07","34.02","9149.0"
"07/08/2020 11","19.86","34.00","9288.0"
"07/08/2020 12","23.39","33.99","9429.0"
"07/08/2020 13","24.54","33.99","9388.0"
"07/08/2020 14","26.29","33.98","9380.0"
"07/08/2020 15","24.85","33.97","9380.0"
"07/08/2020 16","21.50","33.96","9392.0"
"07/08/2020 17","24.29","33.95","9421.0"
"07/08/2020 18","28.45","33.94","9428.0"
"07/08/2020 19","29.32","33.94","9244.0"
"07/08/2020 20","34.36","33.96","9098.0"
"07/08/2020 21","34.55","33.98","9006.0"
"07/08/2020 22","34.76","34.00","8931.0"
"07/08/2020 23","34.71","34.00","8829.0"
"07/08/2020 24","33.57","34.01","8578.0"
"07/09/2020 01","29.33","34.02","8302.0"
"07/09/2020 02","29.14","34.03","8182.0"
"07/09/2020 03","27.95","34.03","8059.0"
"07/09/2020 04","27.67","34.03","8031.0"
"07/09/2020 05","27.67","34.03","8092.0"
"07/09/2020 06","27.76","34.04","8129.0"
"07/09/2020 07","27.58","34.05","8288.0"
"07/09/2020 08","27.86","34.05","8643.0"
"07/09/2020 09","28.19","34.06","8977.0"
"07/09/2020 10","30.03","34.07","9201.0"
"07/09/2020 11","34.60","34.08","9401.0"
